"2-methyl-Heptanoic acid",Intermediate
"2-methyl-Heptanoyl-CoA",Intermediate
"2-methyl-Pentanoyl-CoA",Intermediate
"2-methyl-Hexane",Target
"2-methyl-Oxoheptanoyl-CoA",Intermediate
"2-methyl-Oxopentanoyl-CoA",Intermediate
"2-methyl-Pentanoyl-CoA",Intermediate
"2-methyl-Propanoyl-CoA",Intermediate
"2-methyl-trans-hept-2-enoyl-CoA",Intermediate
"2-methyl-trans-pent-2-enoyl-CoA",Intermediate
"3R-3-Hydroxybutanoyl-CoA",Intermediate
"ADP",Input/Output
"ATP",Input
"Acetoacetyl-CoA",Intermediate
"Acetyl-CoA",Input
"But-2-enoyl-CoA",Intermediate
"Butanoyl-CoA",Intermediate
"CO2",Input/Output
"CoA",Input/Output
"H2O",Input/Output
"HCO3-",Intermediate
"Hplus",Input/Output
"Malonyl-CoA",Intermediate
"NADH",Input
"NADPH",Intermediate
"NADPplus",Intermediate
"NADplus",Input/Output
"Orthophosphate",Input/Output
"S-2-methyl-Hydroxyheptanoyl-CoA",Intermediate
"S-2-methyl-Hydroxypentanoyl-CoA",Intermediate
Oxygen,Input/Output
Formate,Intermediate
2-methyl-Heptanal,Intermediate
